..8....C..5A,.B...7..32.4,...5....8.9.,.85..67A...3,B1....C45.8.,6.C..2..A...,...B..6..3.C,.9.6C3....27,1...254..8B.,.3.1....2...,2.B8..3...4.,47..1....A..
......C.5..6,24....8.1..3,69..2A1.....,..A.59..8.1.,...1..7..A.5,7.3....69...,...CA....5.8,B.8..5..A...,.1.A..63.4..,.....251..4A,1..8.7....59,C..2.3......
.6...B......,4...C79...26,.72865......,..945..C13.2,.57...84B...,C.......8...,...6.......5,...B43...1A.,1.4A7..BC9..,......72A5C.,2C...415...B,......C...1.
..7.6....9BC,6....C7.5..1,1..C5..B.6..,....B6....5.,C9.5.1A.4...,..B...4.2...,...1.4...A..,...4.AB.8.95,.2....53....,..4.C..59..3,8..B.79....6,951....A.B..
.B..5.2.6...,14....6.....,6...87.9.4..,..A..13.8...,...9B..81.2.,B......693..,..5A4......7,.9.86..73...,...6.A5..8..,..2.7.94...5,.....6....1A,...B.C.3..4.
8.B...362.5.,....C...6A..,.5.4....C.3.,.....A.98..7,...17.B3..2.,.A.9..1....3,2....3..7.6.,.4..17.2A...,7..36.C.....,.7.A....3.8.,..18...B....,.6.C49...B.5
.4C..8A..9..,...3.B..6.C.,.B1.2....35.,1....C....7.,.92...6..C.1,5...84......,......B9...3,4.A..1...58.,.2....7....C,.C6....B.A3.,.8.1..C.9...,..9..A8..62.
.6......2.74,.8.5.32..91A,......1.B8..,..C....87.51,.5..2..A....,....B.3..C..,..6..A.1....,....C..B..A.,73.16....4..,..73.4......,6A2..CB.1.9.,89.B......6.
C3........9.,7..6...2.1..,18..64...B..,...38A596...,.....1...37.,.9.47....5C.,.6A....BC.3.,.48...6.....,...958A71...,..5...86..B1,..3.2...A..7,.7........83
.9.3..A..6..,7.A.1..4C...,C.....9.43..,.....B.5.C.6,....3.7.2.AB,...B.46A7...,...6CA4.5...,2A.C.3.B....,3.7.2.5.....,..25.9.....4,...45..3.1.2,..3..8..9.5.
..64..A..C2.,5.98..26A.3.,.........6..,.72....9...8,3..B.45.....,...C82.37.1.,.5.69.B72...,.....34.9..6,9...1....5A.,..A.........,.4.52B..1A.3,.6B..1..47..
1...4892.37.,..7A..B.....,..28...7....,A.9.1..6.2..,........B.5.,42...5A.16.8,5.AC.67...39,.1.3........,..4.8..A.B.6,....A...C5..,.....C..87..,.51.7B48...A
.7.....1..CB,..1..5.9.876,5..C...8.3..,.3...2..8...,..4..A3....9,A......4B..2,4..69......1,1....6C..A..,...8..B...4.,..7.3...9..A,B46.7.A..C..,8C..1.....6.
.1.4..C8..6.,.97.A.5.....,..5B.9....3.,...63....C.B,C.8......3.5,94....8...7.,.6...5....A1,3.9......8.2,B.C....14...,.5....3.29..,.....1.9.AB.,.3..4C..8.1.
......19..5.,..856C4..AB3,..C.B...7.6.,.A56........,1....6...7.A,.2.4..A8....,....45..B.1.,6.B...C....7,........469.,.8.2...3.1..,B51..96483..,.6..A2......
.4.81A......,.3..5...A..7,.95B..C7...3,.C.3..7..1..,5.....14...9,764.95......,......25.76B,4...6B.....1,..B..1..5.4.,8...C7..923.,6..C...2..1.,......418.7.
..5.C......9,...839...517,......7.3.8.,5.26B...9.7.,..9.1....8..,.C135..94..A,3..18..42A5.,..C....2.4..,.2.A...5B1.8,.A.5.6......,973...51A...,6......C.7..
...3.B9...7.,..21...4.A.8,748......C..,.B...1.6...A,...9.7..2.5.,.54....2...7,3...C....74.,.1.7..B.6...,A...4.5...C.,..5......961,B.1.8...73..,.7...93.8...
.5..4.......,.B365....2..,.....A2...37,.1....92A...,52.43....198,6.....1.2.B3,BC.7.3.....2,936....8B.CA,...269....5.,74...6A.....,..9....5372.,.......7..6.
..4.....1...,.C.291.....A,8.B...C6....,...3C..28...,A.....69.1B.,12..B....C.9,B.2....1..53,.48.65.....7,...A7..4B...,....52...3.B,6.....3C4.A.,...4.....8..
..3..A..45..,.A.89...1...,.9...512...3,....A.....9C,.2...95.3..8,C4B....32...,...B4....856,6..7.CB...1.,A1.....9....,9...572...3.,...3...C5.8.,..26..9..7..
...7....B4..,3....2BA5...,..6.5......9,..7..1....9C,..8.7.2.13..,..B.9.A8.7.6,B.4.C5.1.9..,..C5.7.6.A..,97....4..5..,C......B.8..,...28AC....3,..54....6...
.6.7C....4B.,A....B......,B...3....72C,..4...B..A7.,6..5.C..1..2,7...5.A.C9.B,8.92.4.A...5,5..A..3.7..1,.76..9...2..,4C7....6...8,......1....4,.1A....39.6.
1.......3.8.,...4.5.2..69,..B6.38.A4..,....5..B.3..,..7...3.5...,A539..46....,....3C..9741,...8.6...B..,..C.B..9....,..2B.19.4C..,59..4.7.8...,.7.A.......6
..A..9....4.,....52..1A3.,.....8A.C...,.8..4....B13,4.....1B...C,2.7.....8.5A,12.4.....C.9,8...23.....B,AC9....8..7.,...2.78.....,.64C..9A....,.7....4..3..
7...85...32.,.....1...7..,..1.....4B6C,...9.C.7.4.5,1.C.28..9...,.2.....4B...,...A3.....4.,...8..AB.5.7,5.2.4.7.6...,A5B6.....2..,..4...8.....,.19...6A...4
54........9.,8....3..45.C,79....4.A.6B,.1.7...A.3..,.....67.5.4A,9...8..4....,....5..2...1,A8.B.9C.....,..5.7...6.C.,C6.4.8....A7,2.89..B....5,.7........26
...B.89.4...,.9.64A...32.,.2.3..6B....,2..5.4.9.7..,.1....23B6..,.7A8........,........9C5.,..97A1....4.,..4.C.3.1..7,....92..8.7.,.82...746.1.,...9.B8.5...
5A...B.C96..,B3..26...A..,.C62........,..A..43.2.B.,..2.A.B5....,1..6..2.A8..,..B7.C..4..2,....79.3.B..,.6.A.84..C..,........B59.,..5...1B..6C,..CB9.6...73
...7.9.B.4..,...97.1.B..3,..58..42..1.,..8......9B.,..B.938...C.,.41C...A.2..,..4.2...653.,.8...157.A..,.5A......7..,.1..A2..46..,3..5.4.12...,..C.5.6.1...
...C.7.....A,.8..B.2.....,B.6.4.1..5..,..B4....2...,.62..B.7...9,.9..8...1.5B,45.B...8..1.,3...2.B..C7.,...2....B6..,..8..A.5.4.2,.....6.9..8.,C.....8.A...
6....487.2C.,81..C...3.7.,.72......6..,..C3...52...,.51.62......,A.4.7.3....B,5....B.2.1.8,......74.A3.,...71...4B..,..6......39.,.C.1...8..42,.37.5C4....6
61..8..7....,.7C....1B...,.9.5A..281..,.........695,.586..1.7...,4.....C.1..A,9..3.2.....6,...1.7..983.,C46.........,..7A6..8C.2.,...2B....54.,....C..3..78
..9A8....23.,5.....2.678.,...C.5....A.,.B7.C.8.....,....6....C91,C..15....3.2,1.8....5A..7,4A6....2....,.....8.9.B2.,.1....5.B...,.528.9.....3,.93....A26..
....2.B...41,.2C7..43...8,.61....9...3,C.B..2.5....,...9..3.6..7,.8.....C.1..,..8.9.....2.,9..1.8..7...,....B.C..A.4,2...C....37.,8...3B..C25.,A3...4.7....
9.3.8..C.6B.,B2.76...95.C,...8......12,....9612....,8.....C.....,.......8B3A.,.95BA.......,.....1.....5,....5873....,C6......4...,1.B4...52.69,.39.C..6.1.B
.1..B...62..,A.4.....1...,.83C...9..B.,.2..C...A...,C....2.6....,.396A7B.5...,...4.A8C351.,....5.3....4,...1...4..C.,.C..6...79A.,...5.....8.1,..67...8..5.
...71...2B39,B1.A...2...8,.9...4.....6,..3..76.C2..,....A.....1.,..9.C2..6.5.,.7.2..98.5..,.8.....B....,..46.51..C..,9.....A...2.,7...2...4.95,4265...C1...
.A2...4CB.3.,...1.....8..,.....9A..1.C,2.C.4.6.7..8,6.4....7.9..,.1..2B.5....,....8.76..B.,..5.9....2.4,8..4.5.B.7.3,1.7..89.....,..A.....4...,.4.5A2...B6.
..8...A....2,1....6....5.,..96.8..4.17,.B..A.....78,.....C2.9B..,.9...B67.5.4,2.1.398...4.,..47.2C.....,53.....1..A.,A4.1..B.7C..,.7....9....5,9....A...3..
7.B..3..41..,3...9......B,482...1..C3.,5.........7C,..8..C...6.2,.6...4.8..B.,.1..2.8...6.,8.3...7..5..,94.........3,.B5..7...824,C......B...9,..92..4..7.A
...9A..563C.,..7.3..2..A8,......C74...,...7B..3.4..,.365.2......,..A8......3B,57......96..,......B.1C8.,..9.4..8A...,...178......,36..9..4.8..,.8B41..65...
........2.9B,6..A...B5.C.,......39.6..,2..7.C8.A.5.,C....7.A...4,4.A.5B....6.,.4....C7.3.9,8...3.9....7,.7.5.8A.C..2,..4.63......,.9.14...8..6,76.B........
57.6...4A...,..C4.1.5..3.,.......B..C9,..8.9C....7.,..7..2...6.1,4.....BAC...,...7BA.....6,9.A...C..2..,.2....79.C..,71..2.......,.C..5.9.1B..,...24...7.98
.7........6C,A.8.3.6.....,CB...9.7A...,...6.45...3.,8.2.7..6....,..43....7..5,1..5....28..,....8..1.B.7,.A...BC.9...,...B4.8...1A,.....3.5.9.4,3C........2.
...C..17.3A.,....5.6CB.9.,..95.....8.1,..524..6.A3.,...3.25.....,.4C.1A......,......75.4B.,.....C4.3...,.C3.B..A76..,B.6.....92..,.8.4A5.B....,.97.26..8...
.2..C4A.....,9.5.6.8.....,..BA.1..839.,..2.A.6....1,B.19......8.,3.......4.5.,.6.2.......9,.4......1B.8,C....7.2.A..,.3A8..2.57..,.....5.7.8.3,.....A38..B.
9.....5..41.,7..1B9....5.,.....A.1.9.8,..95.B.64CA.,4B..1.C3.5..,6...........,...........B,..7.A5.2..C4,.41C9.3.57..,1.6.4.7.....,.C....A53..6,.32..6.....1
7...6...34..,.B...1.9....,..3.B.4....2,.67.2.5..8..,8.1.......6B,29....B.475.,.1A4.B....73,B7.......1.6,..2..5.7.B4.,9....C.5.6..,....A.1...8.,..8C...4...A
.B4...6579.1,..1...2..4..,..AC4.....B3,....1.825...,3....AB...1.,1......3.7..,..C.8......7,.8...43....6,...271.9....,7A.....B6C..,..8..3...1..,C.2467...B9.
24....9C.6.8,8..9....1.3.,7.C.......29,.25..84.....,..6.9..3..45,4C3..5.A.2.6,6.2.A.C..597,15..6..9.B..,.....B5..31.,39.......8.2,.8.6....4..1,C.7.86....53
...B.1....8.,.6...A.8.B..,1..A.2...75.,..6...74.2..,...9..A...B.,..A.6B.29.C.,.A.39.61.5..,.1...5..6...,..7.38...1..,.7C...1.5..A,..8.B.9...2.,.4....8.1...
.4...6A..C92,6....5..41B.,..A...2176..,.1..........,...71A5..B43,.6...78B..5.,.7..3C1...2.,453..278C...,..........1.,..5C91...7..,.A12..B....9,796..3C...A.
......5...1.,1B.....C.86A,43...6.1.57.,6....38.4..2,.4C....7....,...3.B9..7..,..4..96.A...,....7....98.,8..9.12....B,.81.4.A...39,956.B.....A4,.C...5......
.34..C7..15.,5.B8...27...,9.A.5..12...,.........42.,7.3.........,..5.41.8.7.6,C.8.1.A6.B..,.........3.A,.49.........,...53..4.6.7,...A2...5C.4,.81..76..9B.
.321..4A.6..,....C9...7..,...5.7..B.2A,.67....B...5,.5....1C....,.83A7.5..C..,..A..8.732B.,....1B....6.,3...2....81.,97.2..B.6...,..1...73....,..C.92..457.
C.2..8.6..B.,.7..B...C9..,..9.C..2.864,..8..AC.3...,3......7.6.C,.9......A...,...9......3.,8.5.1......7,...7.3B..2..,2C1.4..8.7..,..3B...9..5.,.4..2.7..3.A
..8.....A...,.9....3AC.4.,BA.1...C8..5,74..2.953...,.B2....1..6.,..68..74....,....67..5A..,.8..B....31.,...2AC.3..74,8..C4...B.31,.7.318....C.,...B.....7..
.9.3B.416...,6.27..C.....,.1....6..8.C,.2..4.....1.,..7.62..5...,A..B.C..79..,..8C..2.4..5,...4..8B.7..,.6.....7..8.,8.3..7....5.,.....1..B4.6,...593.62.7.
51..4....CA.,...C13..87.5,.7.....B.9..,B62...53....,35....9..B..,.....6.A...3,9...2.1.....,..8..5....3A,....6C...479,..7.3.....B.,6.C2..85A...,.B9....4..2C
.A.C8....3.5,.612.379...C,....A...6.1.,.7..5..A..8.,6..1B2......,...4..C.5...,...8.A..7...,......382..6,.C..6..1..3.,.8.6...B....,4...751.329.,3.5....C1.6.
8.273....B.C,643.9...7..1,....6.......,...C.8..5.19,.8...5...6..,56...7.B4...,...64.C...2A,..7...B...5.,B2.3..5.1...,.......7....,1..4...C.98B,A.C....164.2
2...4...1..9,...5.1A..B6.,..14.7..A35.,...A5..3.47.,4.....9.B5..,....A2.....3,B.....86....,..31.A.....6,.47.1..9C...,.CB6..1.72..,.14..C5.9...,3..7...B...1
..18..596...,.27......5.C,49..2..C.1..,B..1A386C..4,.8....4.2.B.,.......5....,....6.......,.1.7.C....A.,2..B45A13..7,..5.C..8..6B,3.A......C5.,...45B..79..
..6AC..4.9..,43...B..5.C.,..C.A......8,21A.....6...,..B8......5.,...5.7.A..32,18..6.5.2...,.4......B6..,...2.....87C,7......3.C..,.9.3..A...81,..1.2..CAB..
..38......C6,...49.C7....,5.....627.B.,.31......B6.,.47B..5....A,....C..B.9.3,8.2.4..5....,B....C..624.,.74......38.,.1.285.....C,....A6.13...,45......A8..
8.C..973.52A,.3......8...,.2.A...1....,....9..7B4.5,7.B...1...3.,....A....162,354....B....,.6...3...8.7,9.7C1..2....,....4...2.A.,...9......1.,2A8.5B9..7.4
45...7...6.1,..13...6A...,.....A.3...B,.C..7..24.B.,.A5.4....36.,..2.A.3..8..,..7..B.8.A..,.48....5.B2.,.1.AC..7..8.,3...2.9.....,...13...84..,B.4...5...C3
....3C...B.4,6..9.....3..,..8.B...19C.,1...A6372..B,.A76....C...,4......2...5,C...4......6,...3....452.,5..41B26...C,.52A...3.1..,..4.....3..9,7.3...B8....
.B8..23A....,.39C......A.,...4.8.B....,56..8.4.3.B.,...7.......6,B...C..6.7.2,8.2.7..5...B,7.......5...,.1.5.A.2..78,....1.9.7...,.9......16C.,....63B..54.
.4.3...B....,..9...6...A.,..1.57...48.,6.....2..394,....4.8.5AB.,..C.6...281.,.8B4...2.5..,.6A9.3.7....,152..6.....A,.35...74.1..,.1...5...B..,....2...9.3.
....6....4.7,.....8....2.,1..2B4...C.8,B..5.6C2.91.,........46B.,..2..1.BC7..,..197.6..8..,.85C........,.4A.392.6..C,4.B...8A5..1,.A....7.....,2.7....6....
.4..A.9....7,C.59..B....1,....26..C.9.,927.3..61.C.,..1...2....3,.CA..7.8....,....5.C..87.,7....3...2..,.6.A4..B.C59,.1.B..A7....,A....8..47.2,6....B.4..A.
1.....5.B...,..C...84...3,.82...71....,C..6.72.5..4,A....6..1..2,57....3...C.,.3...A....98,B..A..1....7,4..8.59.3..C,....B4...C5.,2...58...B..,...C.1.....A
.8.C..9637..,..3..7...A..,A7......9...,..6...1.C...,.2.1C...B..4,C...6B8...A9,75...6BC...1,9..3...7A.B.,...8.4...3..,...9......15,..B...4..6..,..4A92..7.C.
....612.BA5.,...2..39..6.,.8.6.7..4...,619.C8..7...,....9..7.18.,...4.A.....9,2.....9.C...,.C4.7..3....,...9..CA.57B,...8..7.2.B.,.5..8B..9...,.93B.254....
C...4.....8.,A59..8.C21B.,...B.2...4A.,..A...C7....,9C57A..6.8..,.B...5..7...,...A..7...5.,..8.B..2C791,....96...B..,.8C...2.9...,.7298.4..51A,.A.....1...B
.7.A....B...,81....2.5..6,.95..17.3...,........682.,....3.14....,..9..5...3.C,A.6...C..B..,....53.2....,.48C........,...5.AB..C8.,C..3.9....4B,...6....A.9.
98A..C.5.B..,.72.6..B..A.,......39..21,...B.2...8.4,..6..9..3.C.,..5.34......,......6C.4..,.9.2..5..7..,7.8...9.B...,23..95......,.1..B..4.69.,..9.8.A..3BC
.4...7A.C.6.,..9.....82.5,..C2...6..3.,C14.7.6...92,..6...5.1...,.....B9.....,.....2B.....,...1.4...8..,B7...5.C.61A,.2..5...AC..,3.5C.....9..,.A.9.38...B.
4.1......95.,....6.2...A.,.C.57.B..4.2,6..4....5.C.,..5.3..6.1.4,.A7..5..23..,..21..3..A9.,5.C.B..1.8..,.9.A....7..1,C.A..B.23.4.,.4...6.3....,.3B......6.C
A..5....C...,9...1A..3...,7.....8B.9..,..8.C..3..B2,.54...2.....,.2...B6..83.,.3B..27...1.,.....1...4C.,8C..5..A.6..,..5.84.....1,...8..31...9,...C....B..6
...C.8...2.3,...6C...BA..,9..4.32BC71.,.527...6..41,......8.....,6.A.29......,......64.9.B,.....A......,12..B...467.,.BC2A67.1..5,..15...27...,7.4...B.A...
3.....84.7C6,5....31A4.9.,..7.9.6.....,..2....C..43,...3.7...C69,...8...37...,...71...C...,219...C.8...,46..A....B..,.....4.5.A..,.3.9267....5,845.3A.....C
.95..6.....C,...458..9...,31.B.C.....5,.4C.6...8.9.,..1.479....2,..B61....5..,..4....1B6..,1....9A6.C..,.C.A...5.87.,2.....6.1.B3,...9..8CA...,B.....2..7C.
.4.....5C...,....216..9.B,...B4...1...,4.2...3..8..,.7.A8..9B5..,.85.B.4.2...,...1.3.2.6C.,..C27..B3.5.,..9..4...2.A,...C...45...,6.7..52C....,...86.....7.
9...4..1A...,.C..B..2.819,4.1.9.......,.6...2..C1.3,......6.7.8.,A.4C17.....B,5.....7B9C.A,.A.3.5......,C.79..1...2.,.......6.B.C,192.8..3..5.,...B7..5...2
.85...B.A...,..4...8.3.6.,9....5....1.,15..B......3,.3.6.1...C47,..8....629..,..976....2..,C6B...7.8.9.,2......9..B5,.2....A....8,.1.B.9...7..,...8.6...3A.
.B.4.8A.63..,8......67C..,....B....1.9,.9....6.52..,1..2.A.....3,....3.971..A,6..7C9.4....,B.....8.9..5,..31.5....6.,2.7....C....,..8B5......6,..6C.71.2.4.
B...7.C49.5.,....5.9..6.1,...A.1.2..8.,.21..4..6...,6..9.....A..,...5.68..93.,.C5..71.8...,..3.....5..B,...6..5..21.,.3..6.7.B...,4.2..5.C....,.9.7A3.8...2
.3.2....4...,...9..423.C.,7......A...9,..3...C7.6.4,A8....61.3..,6..53...A.2.,.B.4...39..A,..6.59....48,8.5.17...B..,2...4......C,.A.37C..8...,...6....7.1.
586....7....,.9..12...4..,3.....C5..2.,8..C...9A.3.,.5A.7...6C..,9.4..C.A...1,4...3.2..6.A,..5A...C.31.,.C.3A...B..5,.4..87.....3,..C...92..B.,....C....958
A.6..4..1.2.,.......1....,9..7CB...A54,628.4.17.B.A,C...2...4...,..7....5....,....7....8..,...5...2...7,7.3.8A.B.512,142...839..5,....1.......,.3.6..9..1.B
.C......2..8,..46..859B..,9..A3.......,.3..A6....9.,4..98B.....C,..651C....B.,.5....CB6A..,1.....9AC..7,.6....48..3.,.......6A..2,..72B4..5C..,6..3......1.
...B...784..,.7.4B.96.5..,.9.......2.7,..8.A.5....3,...C.6...B1.,....C2..47A.,.3C9..61....,.25...4.7...,8....9.C.3..,7.1.......3.,..B.1C.26.7.,..A36...2...
.54.C.....9.,..6..5....B.,38A9......52,.B...2.....8,.A.1.8.4..6.,..2.7361B...,...C8B72.6..,.7..4.9.2.C.,9.....C...8.,63......852C,.1....8..B..,.9.....5.1A.
.7.9.B4.....,..1...9..C4.,.2.5...6B1..,C...1.7.2A..,.39...6..7.C,..8.9...3...,...6...B.8..,4.7..A...53.,..2C.9.8...7,..AB2...5.7.,.15..4...6..,.....1B.4.2.
.....B...57.,...8...6AC4.,.6..A...B...,.C...93..4..,.8.6....2A..,2...5.A4378.,.1B293.7...A,..94....8.1.,..7..C1...2.,...C...2..B.,.253B...4...,.48...9.....
..C....1....,21..B.7C98..,.....A..3.2C,..7...1.2.B.,.A2....B79..,...B..2A..4.,.2..61..4...,..672....3A.,.9.8.3...2..,73.C..B.....,..A1C9.2..56,....5....C..
.9..82...B..,...1......7.,57A.3..9C.2.,4.6....53..9,..B513....8.,.......72...,...C9.......,.5....B8A1..,1..86....C.5,.4.A5..6.892,.B......7...,..C...8B..6.
6.C.38.....9,.A.3...71...,.8...5A..B.4,.1.6.A......,2.B.....C...,...56....872,479....B2...,...1.....C.A,......1.4.9.,1.A..2C...5.,...4B...9.1.,C.....75.A.3
...C8....92A,...9A.......,.8.A.93457..,..A.7......B,B.5..64..2.9,.C...B.3....,....3.6...9.,9.1..8C..A.6,2......9.B..,..94B17.A.3.,.......29...,672....C1...
..AC2...97.B,....6...8.1.,127......3..,....8.3.4...,6....42.18C.,..8..C.B..2.,.C..A.7..1..,.362.59....4,...1.6.4....,..4......5A6,.7.A...C....,B.28...93C..
.75.3.9..2..,8..4...7..69,3....C....7.,...1..A..54.,A87.62.4.B..,9......3....,....4......B,..8.7.C2.A14,.1B..8..5...,.9....3....7,25..C...A..8,..1..6.8.C9.
...6.B...3.1,..4.....98..,...9.7.6..5A,5B.72.A.198.,.8...3....2.,6...B.8..5..,..B..C.3...2,.A....7...9.,.6C1.2.58.AB,24..8.3.7...,..8B.....C..,9.6...B.2...
...C.....8..,68...4.21..A,.5....A...6.,3.A.1.7.569B,....9.3.....,...9..6B21.3,1.5649..B...,.....5.C....,83C4.1.6.7.5,.2...3....7.,5..A7.1...8C,..7.....A...
2....8.B7.5.,..793.....6.,8.CB.....1A.,....5.16A4..,1....4..C..6,.B...2.C....,....C.3...9.,A..5..B....1,..B671.2....,.49.....18.3,.2.....495..,.7.3A.8....B
.8...67...2C,2B.7...5.4..,..9.3...8...,7....9......,49..CA587...,A....73..2C5,54A..8C....7,...8A2B4..63,......9....A,...C...A.7..,..5.9...C.41,32...46...5.
..2B5C...9.8,....A.....C.,9...8.B6.7..,.B5.7.....29,C8.2.4A..6..,......65A...,...C1B......,..3..A2.5.BC,49.....C.81.,..9.B1.A...7,.3.....7....,B.7...C391..
52...18..9..,....A...4..1,.1...4..723.,.C19...265..,....C.4.1..2,......9.BA..,..A4.B......,7..6.C.5....,..926...C7B.,.65C..B...A.,8..3...A....,..7..93...26
.8.5...1...7,.C9.....6...,.1...9BC.35.,...1.3.9..A.,..2..1...8..,.3..6.85..94,75..CB.6..2.,..6...5..A..,.4..9.2.C...,.21.A86...C.,...9.....58.,C...5...A.4.
...1.35..8..,C4B.62.1....,...7B..8....,1..C5...8..4,9.84...2..A.,325......C.7,5.9......371,.3..9...B5.6,7..6...52..C,....2..91...,....4.1A.B35,..1..83.7...
3..1..8...76,..4.B.5...C.,..8..71A2...,.9.7....AB3.,.8....2..9..,...6...7...C,9...4...3...,..2..9....A.,.A34....6.5.,...23A9..5..,.5...2.6.3..,A3...C..1..B
.....C....97,.....48.316.,..6.3..7.5A4,.5..26..B..3,........48..,...C59...A76,27C...9A5...,..45........,B..8..43..C.,465.8..C.7..,.8BA.32.....,C1....A.....
.......3.815,6.....4....9,..B.9.......,..6...14..B.,43...7...1A.,5..B3.9C264.,.591BC.A3..6,.62...3...9C,.4..89...2..,.......2.C..,7....6.....A,281.5.......
5C74........,9..B8.......,8....B6.7..9,..281..B.3..,.59C..4.....,....A.8...51,A6...4.1....,.....9..BA6.,..B.7..285..,C..6.39....7,.......61..A,........963B
......63..2.,.79...2B..48,2.64.....3..,7.52.1..B...,..C.2...4.1.,.43.8..C.7.9,B.4.3..8.C7.,.2.1...5.9..,...5..1.82.4,..2.....9A.1,58..7A...4C.,.A..53......
.19.3....45.,.....C.18..9,2....A.4....,.4.2....59.8,.7.68.1...42,..352.......,.......9B8..,19...8.B7.6.,8.C4....9.1.,....5.4....6,3..86.C.....,.A7....8.53.
.28...5.1...,......4B..39,3......17.8.,C.9..A26B8..,2....9.5....,.34.....C..6,7..3.....1C.,....5.1....A,..15B63..9.7,.6.82......3,BA..1C......,...2.5...46.
....3A84..9.,3.7...5.....,.8.2........,A.43.2.1....,.C.6.89...A.,87.....6.C.1,6.A.8.....53,.2...3C.6.1.,....4.B.8A.7,........A.6.,.....4...B.8,.1..B728....
.......2..7C,27.....3.5B9,6..3..7.....,4.A1.....C.B,....B.A..65.,95...1..3...,...A..5...17,.98..B.6....,1.3.....A9.6,.....7..B..5,A25.9.....81,B1..5.......
....532.8...,.3......4B5.,..9..8....7.,4..3..5...2.,A...76...91.,......B1A..7,3..964......,.7C...18...A,.4...2..1..3,.5....8..A..,.681......9.,...B.79C....
..C..B9.5.3.,.2..4A.C.B1.,B......5.6.C,.A.2.C....61,......4.....,436....1...9,5...1....826,.....6......,97....2.A.B.,1.4.8......2,.67.5.14..8.,.B.8.23..1..
.7A..1..63..,9B2..7...A..,...1.B.92.7.,4...8.......,2......C5.A.,..159...4B..,..6A...B17..,.9.83......4,.......7...9,.1.C5.2.7...,..9...8..15C,..53..1..82.
3..5A1..7...,46...7.83.5.,..8..4......,.1.....5C...,..78..9A....,..6C13...A.5,C.1...A3B6..,....4C..25..,...69.....A.,......C..7..,.B.16.8...C2,...9..218..6
..B7..6.....,..98.C.2...A,6...A..58.7.,.16.9A.8..3.,B9...1...6.8,.84..6......,......1..8C.,8.1...5...B6,.7..8.2C.5A.,.5.9C..3...1,C...6.B.73..,.....2..9C..
.85.31..C.9.,A......B....,3.96.....7..,C31B7......5,..8..3BA21..,5..A.C......,......9.7..1,..21CB3..6..,8......19B53,..A.....54.2,....8......B,.B.5..27.3A.
3...24.51..7,...A...7.C..,.2.1.A..95..,......C9..8A,.6.......2B.,A......6.475,283.9......6,.9A.......C.,B7..38......,..13..A.7.9.,..B.7...4...,6..98.12...B
7........4C.,...4.6A....7,6...4.7.B3.A,.5...8..6.A.,..4.5.3..12.,..9.B..1.74.,.25.6..7.C..,.7C..4.3.6..,.3.6..C...7.,5.B7.A.9...C,1....35.A...,.93........8
...A.4B9..83,......73.5..,63.7..8.....,3.....9..B2.,..29..A.6...,.4.8765..C39,8CA..5673.9.,...1.B..47..,.57..9.....6,.....8..C.14,..8.17......,1A..B34.5...
.B.9.A.4.376,4..1........,37...5....1.,..9.C3..1.4B,....7..6.9..,.1....B.5.37,29.A.B....6.,..7.A..5....,B4.5..C7.1..,.3....7...C1,........7..2,15C.6.8.9.B.
.9.....B.5.3,...B.C869A.4,...8......7.,4..6391...C.,...C4......6,3.A..B...4.9,7.2...C..9.5,8......36...,.B...658A..C,.4......7...,B.81634.5...,2.6.A.....4.
.7.5..A.4...,.C..7...5..B,.....6.C.1.A,C.518...A7B.,..6.A.74..8.,..7....12...,...29....3..,.8..3C.6.2..,.346...7CA.9,4.2.1.C.....,1..C...9..4.,...7.B..1.9.
.41..A5.8.2.,.7829...36..,3.B.....49..,.B..8..1..3.,.....5A...C.,.C7.6......5,1......6.59.,.6...89.....,.2..4..3..B.,..9B.....7.2,..28...75C6.,.5.4.92..31.
C.2.48..A3..,.B36A.7..2.4,..9AC.1.....,......5...7.,6...97.15...,.C1.......8.,.5.......74.,...25.96...3,.A...B......,.....3.2B9..,B.5..C.8743.,..43..B9.1.8
....3.C...A.,..B1..8...97,.A......B4.C,.....A......,A...623.7B4.,.34....8.26A,46C.7....82.,.78A.C45...B,......6.....,1.6B......7.,52...B..C3..,.8...9.2....
.C.4.5......,.....B9.8..C,3.6.28.7....,6....9.A..81,.A5.1..2..6.,.2.C..8..5..,..2..4..9.7.,.9..5..1.24.,A8..9.2....B,....3.B4.1.9,2..B.1A.....,......6.3.C.
...5.A...3..,.78.43....A.,.A3..7B.9.42,3B..52....79,...1.....A..,A6....98....,....AC....14,..2.....A...,74....2B..35,25.3.1A..46.,.8....65.79.,..B...3.2...
2.C..79....5,......8.A.9.,3A.7.C1.6...,...2.3.B...7,..4B.....36.,6....9....8.,.4....3....6,.72.....84..,A...8.B.9...,...3.6C.7.A1,.C.8.B......,7....25..C.4
....B.3A65..,8..6.5......,A....1.....9,.1...8645..7,C8A..2......,.3.....5.2..,..8.4.....7.,......7..A21,7..98C5...B.,5.....B....2,......1.7..4,..376A.9....
..1.A.3..6.9,.A.3.5......,6.4C.....B5.,.67...52.4..,C.2..B.79..8,....1.C...2.,.7...3.1....,B..17.6..5.2,..6.C2...37.,.18.....5A.6,......1.4.B.,9.5..8.A.2..
